,id,ds_name,title,alt_name,url,res_url,publications
6,bf1aad58-4f5c-4344-9b6c-7e24f1def2cf,yago,YAGO,,http://yago-knowledge.org,http://www.mpi-inf.mpg.de/yago-naga/yago/download/yago/yago2s_ttl.7z|http://www.mpi-inf.mpg.de/yago-naga/yago/download/yago/yago2s_tsv.7z|http://www.mpi-inf.mpg.de/yago-naga/yago/download/yago/yagoSchema.ttl.7z|http://www.mpi-inf.mpg.de/yago-naga/yago/download/yago/yagoTypes.ttl.7z|http://www.mpi-inf.mpg.de/yago-naga/yago/download/yago/yagoTaxonomy.ttl.7z|http://www.mpi-inf.mpg.de/yago-naga/yago/downloads.html,"1. Mahdisoltani, Farzaneh, Joanna Biega, and Fabian Suchanek. ""Yago3: A knowledge base from multilingual wikipedias."" 7th Biennial Conference on Innovative Data Systems Research. CIDR Conference, 2014.
2. Biega, Joanna, Erdal Kuzey, and Fabian M. Suchanek. ""Inside YAGO2s: A transparent information extraction architecture."" Proceedings of the 22nd international conference on World Wide Web companion. International World Wide Web Conferences Steering Committee, 2013.
3. Hoffart, Johannes, et al. ""YAGO2: A spatially and temporally enhanced knowledge base from Wikipedia."" Artificial Intelligence 194 (2013): 28-61.
4. Hoffart, Johannes, et al. ""YAGO2: exploring and querying world knowledge in time, space, context, and many languages."" Proceedings of the 20th international conference companion on World wide web. ACM, 2011.
5. Suchanek, Fabian M., Gjergji Kasneci, and Gerhard Weikum. ""Yago: a core of semantic knowledge."" Proceedings of the 16th international conference on World Wide Web. ACM, 2007."
458,97035ce3-a59b-4da1-8e6a-0f287c8298cb,geonames-semantic-web,GeoNames Semantic Web,GeoNames,http://www.geonames.org/,http://www.geonames.org/ontology/ontology_v2.1.rdf|http://download.geonames.org/all-geonames-rdf.zip|http://sws.geonames.org/3020251/about.rdf|http://sws.geonames.org/6295630/,"1. Wick, Marc, and C. Boutreux. ""GeoNames."" Symposium on Space-Time Integration in Geography and GIScience. Vol. 201. No. 1. 2011.
2. Vatant, Bernard, and Marc Wick. ""Geonames ontology."" (2012)."
467,de4874c1-d8a1-44fe-a3d0-3481ecc3dca6,freebase,Freebase,,http://freebase.com/,http://download.freebase.com/datadumps/|http://download.freebase.com/datadumps/latest/freebase-datadump-quadruples.tsv.bz2|http://download.freebase.com/datadumps/latest/freebase-datadump-tsv.tar.bz2|http://download.freebase.com/datadumps/latest/browse/|http://download.freebase.com/datadumps/latest/freebase-simple-topic-dump.tsv.bz2|http://freebase.com/api/service/search|http://rdf.freebase.com/ns/en.blade_runner,"1. Bollacker, Kurt, et al. ""A platform for scalable, collaborative, structured information integration."" Intl. Workshop on Information Integration on the Web (IIWeb’07). 2007.
2. Bollacker, Kurt, et al. ""Freebase: a collaboratively created graph database for structuring human knowledge."" Proceedings of the 2008 ACM SIGMOD international conference on Management of data. ACM, 2008."
228,478d78c3-e1b0-4858-b419-319f04290200,opencyc,OpenCyc,,http://sw.opencyc.org/,http://sw.opencyc.org/downloads/opencyc_owl_downloads/opencyc-latest.owl.gz|http://sw.opencyc.org/concept/Mx4rwP1ZTZwpEbGdrcN5Y29ycA,"1. Matuszek, Cynthia, et al. ""An Introduction to the Syntax and Content of Cyc."" AAAI Spring Symposium: Formalizing and Compiling Background Knowledge and Its Applications to Knowledge Representation and Question Answering. 2006."
364,ebb27a76-d7f9-46f0-9d1c-96dafcadd090,linkedmdb,Linked Movie DataBase,LinkedMDB,http://linkedmdb.org/,http://data.linkedmdb.org/sparql|http://queens.db.toronto.edu/~oktie/linkedmdb|http://data.linkedmdb.org/resource/film_character/1001,"1. Consens, Mariano P. ""Managing linked data on the web: The linkedmdb showcase."" Web Conference, 2008. LA-WEB'08., Latin American. IEEE, 2008.
2. Hassanzadeh, Oktie, and Mariano P. Consens. ""Linked Movie Data Base."" LDOW. 2009."
48,6899b69d-f520-4093-a973-e68cb4b4d26c,un-hazardous-numbers,UN Hazardous Materials Numbers,,http://kasabi.com/dataset/un-hazardous-material-numbers,http://api.kasabi.com/dataset/un-hazardous-material-numbers/apis/sparql|http://data.kasabi.com/dataset/un-hazardous-material-numbers/1203.rdf|http://data.kasabi.com/dataset/un-hazardous-material-numbers|http://data.kasabi.com/dataset/un-hazardous-material-numbers/,
206,7013f61e-00c1-49fb-bdad-c7b94e609a7b,pali-english-lexicon,Pali English Lexicon,,http://kasabi.com/dataset/pali-english-lexicon,http://data.kasabi.com/dataset/pali-english-lexicon|http://api.kasabi.com/dataset/pali-english-lexicon/apis/sparql|http://rdf.ontosema.org/lang/language.owl#|http://data.kasabi.com/dataset/pali-english-lexicon/pts-dictionary/e0.rdf,
595,71130c33-ac89-4352-ad79-0ffaef8742c5,core,CORE - Semantic Similarity of Open Access publications,,http://core-project.kmi.open.ac.uk/,http://core.kmi.open.ac.uk/squery|http://core-project.kmi.open.ac.uk/files/test.rdf|http://core-project.kmi.open.ac.uk/files/download_20120123.rdf|http://core-project.kmi.open.ac.uk/files/example-link.rdf|http://core-project.kmi.open.ac.uk/files/core-voiD.n3|http://core-project.kmi.open.ac.uk/data-description,
609,a0d0108c-29f1-4749-9a4e-79792a217fcb,chempedia-rdf,ChemPedia RDF,,http://figshare.com/articles/ChemPedia_as_RDF/681678,http://rdf.openmolecules.net/chempedia/onto#|http://www.iupac.org/,
377,08858529-7745-4e90-861e-c643ee4dddaf,lexvo,Lexvo,,http://www.lexvo.org,http://www.lexvo.org/linkeddata/void.rdf|http://lexvo.org/ontology|http://www.lexvo.org/resources/lexvo_latest.rdf.gz|http://lexvo.org/id/iso639-3/spa,"Labra Gayo, Jose Emilio, et al. ""Lexvo. org: Language-related information for the linguistic linked data cloud."" Semantic Web 6.4 (2015): 393-400."
14,da08a70d-84a2-4a31-b4e1-74c6f211e65f,wp,WikiPathways,,,http://micelio.be/data/wikipathways/WP_curated_reactome_RDF_v0.0.77161_20140805.ttl.gz,
183,0f584d1f-8881-443a-a623-bc17d84fc2d9,gutenberg,Project Gutenberg,,http://www.gutenberg.org/,http://www.gutenberg.org/wiki/Gutenberg:Information_About_Robot_Access_to_our_Pages#Getting_All_EBook_Files|http://www.gutenberg.cc|http://www.gutenberg.org/feeds/catalog.rdf.bz2|http://www.gutenberg.org/ebooks/12345.rdf,
226,362a5c1b-603b-48ce-b51e-eadb7582b7d4,openlink-lod-cache,OpenLink Software LOD Cache,,http://lod.openlinksw.com/,http://lod.openlinksw.com/sparql,
582,ed40d710-3205-427f-abfd-723f44f5c816,data-open-ac-uk,"data.open.ac.uk, Linked Data from the Open University",data.open.ac.uk,http://data.open.ac.uk/,http://data.open.ac.uk/query|http://data.open.ac.uk/resource/oro/21166|http://data.open.ac.uk/resource/podcast/218dce44a4ed17b36ada50d18b866b03|http://data.open.ac.uk/resource/person/c9aa7f2e582d191ed728ad414c5ea711|http://data.open.ac.uk/resource/course/m366,"Enrico Daga , Mathieu d???Aquin , Alessandro Adamou and Stuart Brown, ""The Open University Linked Data -
data.open.ac.uk"" Semantic Web (2015)"
598,5f330e1d-155f-453f-9eaa-166dc9696129,conceptnet,ConceptNet,,http://csc.media.mit.edu/conceptnet,http://conceptnet.media.mit.edu/dist/ConceptNet-sqlite.tar.gz|http://csc.media.mit.edu/conceptnet/get,"1. Grassi, Marco, and Francesco Piazza. ""Towards an RDF encoding of ConceptNet."" Advances in Neural Networks???ISNN 2011. Springer Berlin Heidelberg, 2011. 558-565."
134,fe844d80-4726-44c2-a1ae-786ffb9aec76,science_commons,Science Commons,,http://sciencecommons.org,http://purl.org/hcls/2007/kb-sources/sciencecommons.owl|http://purl.org/science/owl/sciencecommons/enzyme_record,
243,8f8890d5-749c-4104-a467-24b5b3d65373,bioportal-opl,Ontology for Parasite LifeCycle,,http://bioportal.bioontology.org/ontologies/1190,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/46353?apikey=BP_API_KEY,
311,32729026-ceb4-425b-a6ec-6267bfa96b9d,bioportal-mo,MGED Ontology,,http://bioportal.bioontology.org/ontologies/1131,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/38801?apikey=BP_API_KEY,
347,4bb3ff9d-178d-4629-ac8b-a8ebfd0dc1a9,bioportal-lipro,Lipid Ontology,,http://bioportal.bioontology.org/ontologies/1183,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/44210?apikey=BP_API_KEY,
434,7f9d176e-98dd-4321-abc8-a7deef77ccea,identifiers-org,Identifiers.org,,,http://identifiers.org/services/sparql|http://www.ebi.ac.uk/miriam/main/export/registry.rdf|http://www.ebi.ac.uk/miriam/main/void.rdf,
556,989133b2-75c8-417d-a63b-0c269b89f2aa,disgenet,DisGeNET,,http://rdf.disgenet.org,http://rdf.disgenet.org/download/v3.0.0/|http://rdf.disgenet.org/sparql/|http://rdf.disgenet.org/fct/|http://rdf.disgenet.org/download/v3.0.0/void-incomplete.ttl.gz|http://rdf.disgenet.org/resource/gda/DGN06666ac1f20dc99b0e3f7780a305e805|http://rdf.disgenet.org/resource/example/DGN62f27b11f686fcc408502737f5ee7a4b|http://www.disgenet.org/ds/DisGeNET/html/images/disgenet-rdf-schema-125.png,"1.  Janet Pi??ero, N??ria Queralt-Rosinach, ??lex Bravo, Jordi Deu-Pons, Anna Bauer-Mehren, Martin Baron, Ferran Sanz, Laura I Furlong. ""DisGeNET: a discovery platform for the dynamical exploration of human diseases and their genes"". Database (2015) Vol. 2015: article ID bav028; doi:10.1093/database/bav028
2. Anna Bauer-Mehren, Markus Bundschus, Michael Rautschka, Miguel A. Mayer, Ferran Sanz, Laura I. Furlong. ""Gene-disease network analysis reveals functional modules in mendelian, complex and environmental diseases"". PLoS ONE 2011 6(6): e20284. doi:10.1371/journal.pone.0020284.
3. Bauer-Mehren A, Rautschka M, Sanz F, Furlong LI. ""DisGeNET: a Cytoscape plugin to visualize, integrate, search and analyze gene-disease networks"". Bioinformatics. 2010 Nov 15;26(22):2924-6. Epub 2010 Sep 21
4. Queralt-Rosinach, N??ria, Tobias Kuhn, Christine Chichester, Michel Dumontier, Ferran Sanz, and Laura I. Furlong. ""Publishing DisGeNET as nanopublications."" Semantic Web???Interoperability, Usability, Applicability (2015)."
296,32bf1a4e-b5cd-46c3-a7d2-c4fd53cbe3f7,my-experiment,myExperiment,,http://www.myexperiment.org,http://rdf.myexperiment.org/myexperiment.rdf.gz|http://rdf.myexperiment.org/sparql/|http://rdf.myexperiment.org/void.rdf|http://www.myexperiment.org/workflows/12|http://www.myexperiment.org/users/26,"Goble, Carole A., et al. ""myExperiment: a repository and social network for the sharing of bioinformatics workflows."" Nucleic acids research 38.suppl 2 (2010): W677-W682"
683,1237bbe2-7c6b-4fdf-bdeb-3b5fe43b8daf,southampton-ac-uk-apps,Apps using our data (University of Southampton),,http://data.southampton.ac.uk/,http://data.southampton.ac.uk/apps.html|http://id.southampton.ac.uk/dataset/apps/latest.rdf|http://id.southampton.ac.uk/dataset/apps/latest.ttl|http://id.southampton.ac.uk/app/soton-map-embed|http://sparql.data.southampton.ac.uk/,
33,9a8357cc-d6f4-4134-85aa-57547f8d4798,verrijktkoninkrijk,Verrijkt Koninkrijk,,http://semanticweb.cs.vu.nl/verrijktkoninkrijk/,http://semanticweb.cs.vu.nl/verrijktkoninkrijk/sparql/|http://semanticweb.cs.vu.nl/verrijktkoninkrijk/browse/list_graphs|http://purl.org/collections/nl/niod/botb-Haarlem,
35,839929cc-f609-4f3e-9d06-6a12cf060cfe,bioportal-vo,Vaccine Ontology,,http://bioportal.bioontology.org/ontologies/1172,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47398?apikey=BP_API_KEY,
53,a2e794ea-ce07-4303-9e17-17f6e1fd6c83,bioportal-uberon,Uber anatomy ontology,,http://bioportal.bioontology.org/ontologies/1404,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47379?apikey=BP_API_KEY,
54,e7f874ed-c5fb-4d7c-9abc-ce56a15287b1,twc-logd,TWC: Linking Open Government Data,TWC LOGD,http://logd.tw.rpi.edu,http://logd.tw.rpi.edu/twc-logd|http://logd.tw.rpi.edu/sparql|http://logd.tw.rpi.edu/source/dfid-gov-uk/dataset/statistics-on-international-development-2009/version/2009-Nov-10/foreignAid_158_6,
62,ec095f77-3a1f-417a-8b53-949cf0cd84d2,bioportal-tads,Tick gross anatomy,,http://bioportal.bioontology.org/ontologies/1065,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47059?apikey=BP_API_KEY,
83,ed15b689-b66e-4fdc-b086-4db083334cc5,bioportal-tao,Teleost Anatomy Ontology,,http://bioportal.bioontology.org/ontologies/1110,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/46831?apikey=BP_API_KEY,
115,90b7aea0-ef2b-45f8-ab19-a505644ada02,bioportal-snomedct,SNOMED Clinical Terms,,http://bioportal.bioontology.org/ontologies/1353,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/46896?apikey=BP_API_KEY,
118,9bb3354d-83a6-4da7-a210-bdee6a71a723,bioportal-sdo,Sleep Domain Ontology,,http://bioportal.bioontology.org/ontologies/1651,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/46054?apikey=BP_API_KEY,
125,e4f4ba2d-e470-4d85-8dff-22e811e15baa,bioportal-so_x1,Sequence types and features,,http://bioportal.bioontology.org/ontologies/1109,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47407?apikey=BP_API_KEY,
185,a2c2afc9-c262-433f-bfdb-c81cb6a7eb51,productontology,Product Types Ontology,,http://www.productontology.org,http://www.productontology.org/dump.rdf|http://www.productontology.org/doc/Laser_printer.ttl,
204,226c4a3b-cc92-42db-aa0a-cf5814c27c79,bioportal-pw,Pathway ontology,,http://bioportal.bioontology.org/ontologies/1035,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47202?apikey=BP_API_KEY,
208,4442c93a-8588-465d-aabc-878d1a73a1ab,osm-semantic-network,OSM Semantic Network,OpenStreetMap Semantic network,http://wiki.openstreetmap.org/wiki/OSM_Semantic_Network,http://spatial.ucd.ie/osn/skos/osm_semantic_network.skos.rdf|http://spatial.ucd.ie/osn/skos/osm_semantic_network_mappings.rdf|http://spatial.ucd.ie/lod/sparql|http://spatial.ucd.ie/lod/osn/data/term/k:waterway/v:river|http://spatial.ucd.ie/lod/osn/term/k:amenity/v:university,
213,de29c195-626b-45d8-98f5-86082e500a4d,oecd-linked-data,Organisation for Economic Co-operation and Development (OECD) Linked Data,OECD data,http://oecd.270a.info/,http://oecd.270a.info/sparql|http://oecd.270a.info/.well-known/void|http://oecd.270a.info/data/meta.tar.gz|http://oecd.270a.info/data/data.tar.gz|http://oecd.270a.info/dataset/7HA,
246,fa3576ec-3afd-402f-8549-3a785e28c09e,bioportal-ogms,Ontology for General Medical Science,,http://bioportal.bioontology.org/ontologies/1414,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/46293?apikey=BP_API_KEY,
250,36560a0c-0eb0-48bb-bc2b-4efdec712f1d,omegawiki,OmegaWiki,Omega Wiki dataset,http://www.omegawiki.org/Meta:Main_Page,http://www.omegawiki.org/Meta:Main_Page|http://www.omegawiki.org/downloads/omegawiki-lexical.sql.gz,
279,f9015eb7-d06c-4bb5-8c1f-a08e8f7c1f25,bioportal-nemo_x1,Neural ElectroMagnetic Ontologies,,http://bioportal.bioontology.org/ontologies/1321,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47411?apikey=BP_API_KEY,
293,cf36cb9f-b499-4a54-921b-1b6f45691104,bioportal-npo,NanoParticle Ontology,,http://bioportal.bioontology.org/ontologies/1083,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/45233?apikey=BP_API_KEY,
297,6f7818fc-c29c-48e8-8552-64a91dac58ab,my-family-lineage,My Family Lineage,,http://my-family-lineage.com/wiki/Main_Page,http://futurewavehosting.com:3030/my-family-lineage/query|http://futurewavehosting.com:3030/my-family-lineage/sparql|http://my-family-lineage.com/void.ttl|http://my-family-lineage.com/w/sitemap/sitemap-index-whealton_wiki.xml|http://my-family-lineage.com/w/images/d/d0/Adams.rdf|http://my-family-lineage.com/w/RDF/classes.rdf|http://my-family-lineage.com/w/images/a/af/BruceWhealtonJr.rdf|http://my-family-lineage.com/w/images/6/6c/Sangster_family_tree_2012-06-30.rdf|http://xmlns.com/foaf/spec/index.rdf|http://www.opendatacommons.org/odc-public-domain-dedication-and-licence/,
303,e6b1c1a7-5765-4d41-9fa6-7b99d979a8d3,bioportal-miro,Mosquito insecticide resistance,,http://bioportal.bioontology.org/ontologies/1077,http://www.bioontology.org/wiki/index.php/BioPortal_REST_services|http://sparql.bioontology.org/|http://rest.bioontology.org/bioportal/ontologies/download/47408?apikey=BP_API_KEY,
314,8d5842ee-707d-4afc-8e16-3343403a396e,dutch-national-regulations-metalex,MetaLex Document Server,,http://doc.metalex.eu,http://doc.metalex.eu:8000/sparql/|http://doc.metalex.eu/static/void.ttl,
336,5e330b61-49a6-4be7-8278-559eb7f74bdf,lower-layer-super-output-areas,Lower Layer Super Output Areas,,http://opendatacommunities.org/datasets/geography,http://opendatacommunities-downloads.s3.amazonaws.com/lsoa.ttl.zip|http://opendatacommunities.org/sparql|http://opendatacommunities.org/datasets/geography.ttl|http://opendatacommunities.org/id/geography/lsoa/E01000001.json|http://opendatacommunities.org/id/geography/lsoa/E01000001.nt|http://opendatacommunities.org/id/geography/lsoa/E01000001.rdf|http://opendatacommunities.org/id/geography/lsoa/E01000001.ttl,
358,f50ced03-1fca-48b9-8d57-ba3e5b9f50ac,linked-open-piracy,Linked Open Piracy,,http://semanticweb.cs.vu.nl/poseidon/ns/home,http://semanticweb.cs.vu.nl/poseidon/ns/api/export_graph?format=rdfxml&graph=file:///home/poseidon/piracy_lod/piracy/piracy_events_imb_mss_eez.rdf|http://semanticweb.cs.vu.nl/poseidon/ns/api/export_graph?format=rdfxml&graph=file:///home/poseidon/piracy_lod/piracy/types_and_mappings.rdf|http://semanticweb.cs.vu.nl/poseidon/ns/api/export_graph?format=rdfxml&graph=http://semanticweb.cs.vu.nl/2009/11/sem/|http://semanticweb.cs.vu.nl/poseidon/ns/api/export_graph?format=rdfxml&graph=file:///home/poseidon/piracy_lod/piracy/eez.ttl|http://semanticweb.cs.vu.nl/poseidon/ns/instances/event_2006_214,
369,58ce9454-400b-4aa1-807f-eb8de9e57298,linked-edgar,Linked EDGAR (OntologyCentral),Linked EDGAR,http://edgarwrap.ontologycentral.com/,http://edgarwrap.ontologycentral.com/cik/links.rdf|http://edgarwrap.ontologycentral.com/cik/1014931|http://edgarwrap.ontologycentral.com/sic/|http://edgarwrap.ontologycentral.com/feed/usgaap,
382,2bf72657-2bb6-4134-97d4-abf02a5277e6,lak-dataset,Learning Analytics and Knowledge (LAK) Dataset,LAK dataset,http://www.solaresearch.org/resources/lak-dataset/,http://data.linkededucation.org/request/lak-conference/sparql|http://data.linkededucation.org/resource/lak/conference/lak2013/paper/93|http://lak.linkededucation.org/schema/lak.rdf|http://lak.linkededucation.org/lak/LAK-DATASET-DUMP.rdf.zip|http://lak.linkededucation.org/lak/LAK-DATASET-DUMP.nt.zip,"Dietze, Stefan, Davide Taibi, and Mathieu d???Aquin. ""Facilitating scientometrics in Learning Analytics and Educational Data Mining???the LAK Dataset."" Semantic Web Preprint: 1-9."
626,1010c4fc-421b-4576-a9c2-5b6df7c0ef96,bluk-bnb,British National Bibliography (BNB) - Linked Open Data,BNB dataset,http://bnb.data.bl.uk,http://bnb.data.bl.uk/sparql|http://bnb.data.bl.uk/search|http://bnb.data.bl.uk/doc/resource/006893251.rdf|http://bnb.data.bl.uk/doc/resource/006893251.ttl|http://bnb.data.bl.uk/doc/resource/006893251.json|http://bnb.data.bl.uk/doc/resource/006893251.html|http://bnb.data.bl.uk/doc/resource/006893251|http://www.bl.uk/schemas/bibliographic/blterms|http://www.bl.uk/bibliographic/datafree.html|http://www.bl.uk/bibliographic/pdfs/bldatamodelbook.pdf|http://www.bl.uk/bibliographic/pdfs/bldatamodelserial.pdf|http://bnb.data.bl.uk/flint|http://www.bl.uk/bibliographic/download.html#lodbnb,"Deliot, Corine. ""Publishing the British National Bibliography as Linked Open Data."" Catalogue & Index 174 (2014): 13-18."
