,author,author_email,id,isopen,license_id,license_title,license_url,maintainer,maintainer_email,metadata_created,metadata_modified,name,notes,num_resources,num_tags,owner_org,private,revision_id,state,title,type,url,version
0,Andreas Harth,andreas@harth.org,396b6444-6702-4c74-932c-87819e042adf,False,cc-nc,Creative Commons Non-Commercial (Any),http://creativecommons.org/licenses/by-nc/2.0/,Carsten Menne,ucdov@student.kit.edu,2011-04-17T23:43:34.556721,2016-02-05T20:03:05.132450,linked-crunchbase,A CrunchBase wrapper to Linked Data,3,7,03edf3fa-fe5a-42ec-badd-d5f41e5e0023,False,60b1f54d-5325-4a3c-8564-ec8827b8f922,active,Linked Crunchbase,dataset,http://km.aifb.kit.edu/services/crunchbase/api/,
1,Mikael Nordfeldth,mmn@hethane.se,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2016-02-04T11:33:44.357148,2016-02-04T11:48:47.331641,gnusocial-social-umeahackerspace-se,FOAF profiles on GNU social instance https://social.umeahackerspace.se/,2,5,62af32d9-685d-42c9-8c15-7a686b2d2fc0,False,b4445a35-15d1-4303-8379-b8c53d26ec56,active,GNUsocial social.umeahackerspace.se,dataset,https://social.umeahackerspace.se/,
2,,,48c3f15a-ca06-4b36-9d48-79fe76a60534,True,other-pd,Other (Public Domain),,National Agricultural Library,NAL.Thesaurus@ars.usda.gov,2011-10-05T13:22:52.051066,2016-01-29T17:49:34.790649,nalt,"The NAL Thesaurus is an online vocabulary tool of agricultural terms in English and Spanish and is cooperatively produced by the National Agricultural Library, USDA and the Inter-American Institute for Cooperation on Agriculture.  The thesaurus is the indexing vocabulary for the National Agricultural Library's bibliographic database of citations to agricultural resources, AGRICOLA.",3,16,ed47c074-2073-48d3-b852-03b01bc70703,False,8c856741-6d6f-4912-8562-03f6b6bc8fb7,active,National Agricultural Library Thesaurus,dataset,http://agclass.nal.usda.gov,2016
3,,,632163c5-bbce-4c61-bd60-225d2ffc7e1d,False,,,,CLLD Project,glottolog@shh.mpg.de,2014-10-22T11:56:43.354818,2016-01-28T11:44:34.912857,clld-glottolog,Glottolog 2.7 published by the CLLD project,2,3,f1371008-b8de-489a-a524-68b725b1d995,False,bc8d8b00-2f7a-473f-a26b-791aa0acdc55,active,CLLD-GLOTTOLOG,dataset,http://glottolog.org,
4,"Original Data: Ralf Steinberger, RDF-Conversion by M. Sherif",Ralf.Steinberger@jrc.ec.europa.eu,e1b236e1-6f58-48d1-a09f-477487cf1621,False,other-closed,Other (Not Open),,Mohamed Sherif,sherif@informatik.uni-leipzig.de,2012-09-21T16:05:11.049262,2016-01-25T11:51:29.288587,jrc-names-mlode,"From their web site: JRC-Names is a highly multilingual named entity resource for person and organisation names (called 'entities'). It consists of large lists of names and their many spelling variants (up to hundreds for a single person), including across scripts (Latin, Greek, Arabic, Cyrillic, Japanese, Chinese, etc.). ",5,5,e959733d-c3fb-4bdc-80c1-16a3b7026df3,False,c0eb12d8-3a4b-48f0-b1be-95211a0c944e,active,JRC-Names-MLODE,dataset,https://ec.europa.eu/jrc/en/language-technologies/jrc-names,
5,"Bavarian State Library, Bavarian Library Union, Cooperative Library Network Berlin-Brandenburg",lod@bsb-muenchen.de,d199156b-f304-4d49-b3b7-76c39d9fb3d5,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Bayerische Staatsbibliothek,lod@bsb-muenchen.de,2011-12-14T20:21:19.669995,2016-01-25T07:38:07.378833,b3kat,"Joint Union Catalogue of 200 academic libraries in the german states of Bavaria, Berlin and Brandenburg. The data contains descriptions of 26Mio. titles and 60Mio. holdings available in these libraries. ",10,16,3d711c0c-ac49-4458-b153-3993e83f50d9,False,147d540b-6cfb-4582-8a37-676582e41af8,active,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",dataset,http://lod.b3kat.de,
6,Timothy Lebo,lebot@rpi.edu,09bb4837-4dd0-4a8a-ab42-4924b0c61719,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,,,2013-02-27T17:47:33.649859,2016-01-20T16:25:00.781704,twc-ieeevis,"Collection of the datasets used by papers published in [IEEE VIS](http://ieeevis.org/) and related conferences, provided as [Linked Open Data](http://linkeddata.org/). This dataset is derived from the individual datasets listed in the [ieee-vis](http://datahub.io/group/ieee-vis) group. (Note that this LOD bubble should be connected to http://datahub.io/dataset/rkb-explorer-ieee/related)",67,44,d0821303-befa-4808-a00f-4e1e073df26f,False,0cc76637-8b93-4c95-a823-47179c6c24a6,active,IEEE VIS Source Data,dataset,http://ieeevis.tw.rpi.edu,
7,Valentine Charles,,adcb2872-e52d-450f-be27-de3ce1b53a1b,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,,,2015-01-28T08:30:27.933422,2016-01-08T08:39:57.094405,europeana-lod,"All Europeana datasets can be explored, accessed and downloaded through the SPARQL endpoint available at [http://europeana.ontotext.com/](http://europeana.ontotext.com/). The data is represented in the Europeana Data Model (EDM). The described resources are each [addressable and dereferenceable](http://en.wikipedia.org/wiki/Dereferenceable_Uniform_Resource_Identifier) by their URIs; for instance,[http://data.europeana.eu/item/92056/BD9D5C6C6B02248F187238E9D7CC09EAF17BEA59](http://data.europeana.eu/item/92056/BD9D5C6C6B02248F187238E9D7CC09EAF17BEA59) leads either to an HTML page on the Europeana portal for the object it identifies or to raw, machine-processable data on this object. The data can be downloaded in JSON or RDF. 

The SPARQL endpoint reflects the current state of the Europeana datasets as in the portal Europeana.eu and is regularly updated. The SPARQL endpoint is powered by ONTOTEXT. 

",3,10,cf618f43-bd5a-49a0-a1a1-0df427831c10,False,edfdc189-beac-4164-879a-ff1b46fa8494,active,Europeana Linked Open Data,dataset,,
8,The European Library,info@theeuropeanlibrary.org ,71714db9-6dd7-4551-b021-83f0ed82ab87,True,cc-zero,Creative Commons CCZero,http://www.opendefinition.org/licenses/cc-zero,Nuno Freire,nuno.freire@theeuropeanlibrary.org,2015-02-09T09:17:50.051219,2016-01-07T16:04:59.839933,the-european-library-open-dataset,"The dataset is derived from the data aggregated by The European Library. It is comprised of all the aggregated data that is made openly available by the data providing libraries (European national and research libraries). The dataset includes national bibliographies, library catalogues, and research collections including both digital and physical resources. The data is made available under open licensing terms, which allow the unrestricted use of the data for any purpose by anyone, including commercial use.",6,17,141e24da-4c2e-403e-8560-748bf802fe7c,False,4bd8d52f-9313-4278-9398-28a546434018,active,The European Library Open Dataset,dataset,,
9,East China University of Science and Technology,whfcarter@ecust.edu.cn,3132a738-4714-4036-ae11-843af152dba5,True,cc-by,Creative Commons Attribution,http://www.opendefinition.org/licenses/cc-by,Zhijia Fang,fantorm030@gmail.com,2015-12-14T16:08:50.730887,2015-12-18T03:51:21.485677,zhishi-lemon,The lexicalization of Zhishi.me dataset.(http://zhishi.me/) Zhishi.lemon using lemon  lexicon model to create links to DBpedia and Babel.Net synsets.,3,6,6f55eae0-5b24-4cf5-a4e2-e5d70ea9e881,False,a9f16ead-8cbe-4950-aae2-4975d1a8fd00,active,zhishi.lemon,dataset,,1.0
