,ds_id,key,value
0,396b6444-6702-4c74-932c-87819e042adf,links:dbpedia,16706
1,396b6444-6702-4c74-932c-87819e042adf,namespace,http://km.aifb.kit.edu/services/crunchbase/api/
2,396b6444-6702-4c74-932c-87819e042adf,triples,5000000
3,48c3f15a-ca06-4b36-9d48-79fe76a60534,namespace,http://lod.nal.usda.gov/
4,48c3f15a-ca06-4b36-9d48-79fe76a60534,shortname,NALT
5,632163c5-bbce-4c61-bd60-225d2ffc7e1d,links:dbpedia,7822
6,632163c5-bbce-4c61-bd60-225d2ffc7e1d,links:geonames,10763
7,632163c5-bbce-4c61-bd60-225d2ffc7e1d,links:gold,24393
8,632163c5-bbce-4c61-bd60-225d2ffc7e1d,links:lexvo,7822
9,632163c5-bbce-4c61-bd60-225d2ffc7e1d,triples,8322839
10,e1b236e1-6f58-48d1-a09f-477487cf1621,links:dbpedia,124651
11,e1b236e1-6f58-48d1-a09f-477487cf1621,triples,1458828
12,d199156b-f304-4d49-b3b7-76c39d9fb3d5,dc:rights,http://creativecommons.org/publicdomain/zero/1.0/
13,d199156b-f304-4d49-b3b7-76c39d9fb3d5,links:dewey_decimal_classification,3655789
14,d199156b-f304-4d49-b3b7-76c39d9fb3d5,links:dnb-gemeinsame-normdatei,74722718
15,d199156b-f304-4d49-b3b7-76c39d9fb3d5,links:lobid-resources,34624
16,d199156b-f304-4d49-b3b7-76c39d9fb3d5,namespace,http://lod.b3kat.de/title/
17,d199156b-f304-4d49-b3b7-76c39d9fb3d5,publishingInstitution,Bayerische Staatsbibliothek
18,d199156b-f304-4d49-b3b7-76c39d9fb3d5,shortname,B3Kat
19,d199156b-f304-4d49-b3b7-76c39d9fb3d5,triples,981672146
20,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:dbpedia,28
21,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:dcs-sheffield,15
22,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:geonames-semantic-web,9
23,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:l3s-dblp,26
24,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:linkedmdb,19
25,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:semantic-web-dog-food,27400
26,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:semanticweb-org,299
27,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:twc-logd,101
28,09bb4837-4dd0-4a8a-ab42-4924b0c61719,links:viaf,11
29,09bb4837-4dd0-4a8a-ab42-4924b0c61719,namespace,http://ieeevis.tw.rpi.edu/
30,09bb4837-4dd0-4a8a-ab42-4924b0c61719,triples,19935340
31,adcb2872-e52d-450f-be27-de3ce1b53a1b,Last update,2015-07-13
32,adcb2872-e52d-450f-be27-de3ce1b53a1b,Number of entities,43356557
33,adcb2872-e52d-450f-be27-de3ce1b53a1b,Number of triples,1806753903
34,71714db9-6dd7-4551-b021-83f0ed82ab87,URL,http://www.theeuropeanlibrary.org/tel4/access/data/opendata
35,71714db9-6dd7-4551-b021-83f0ed82ab87,Version,2015
36,71714db9-6dd7-4551-b021-83f0ed82ab87,entities,95550251
37,71714db9-6dd7-4551-b021-83f0ed82ab87,links:b3kat,1000000
38,71714db9-6dd7-4551-b021-83f0ed82ab87,links:data-bnf-fr,75000
39,71714db9-6dd7-4551-b021-83f0ed82ab87,links:dewey_decimal_classification,600000
40,71714db9-6dd7-4551-b021-83f0ed82ab87,links:dnb-gemeinsame-normdatei,42000
41,71714db9-6dd7-4551-b021-83f0ed82ab87,links:geonames,25000000
42,71714db9-6dd7-4551-b021-83f0ed82ab87,links:lcsh,7500000
43,71714db9-6dd7-4551-b021-83f0ed82ab87,namespace,http://data.theeuropeanlibrary.org/BibliographicResource/
44,71714db9-6dd7-4551-b021-83f0ed82ab87,shortname,The European Library
45,71714db9-6dd7-4551-b021-83f0ed82ab87,triples,4418628287
46,3132a738-4714-4036-ae11-843af152dba5,links:babelnet,16424
47,3132a738-4714-4036-ae11-843af152dba5,links:dbpedia,218654
48,3132a738-4714-4036-ae11-843af152dba5,links:esdbpedia,77392
49,3132a738-4714-4036-ae11-843af152dba5,links:zhishi-me,229606
50,3132a738-4714-4036-ae11-843af152dba5,triples,7060934
51,b0d680c2-2733-4aef-ac80-be7684acd875,links:dbpedia,193000
52,b0d680c2-2733-4aef-ac80-be7684acd875,namespace,http://zhishi.me/
53,b0d680c2-2733-4aef-ac80-be7684acd875,triples,125000000
54,11d67b88-bed3-4016-b88b-3b8fdf77ba20,links:dbpedia,237
55,11d67b88-bed3-4016-b88b-3b8fdf77ba20,links:iate-rdf,92
56,11d67b88-bed3-4016-b88b-3b8fdf77ba20,triples,11068
57,989133b2-75c8-417d-a63b-0c269b89f2aa,Source,http://rdf.disgenet.org/
58,989133b2-75c8-417d-a63b-0c269b89f2aa,Version,3.0.0
59,989133b2-75c8-417d-a63b-0c269b89f2aa,license_link,http://www.disgenet.org/ds/DisGeNET/html/legal.html
60,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf,488904
61,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-dbsnp,45813
62,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-hgnc_symbol,17175
63,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-mesh,8558
64,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-ncbigene,17181
65,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-omim,10141
66,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-orphanet,2543
67,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-pubmed,308996
68,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-reactome,23
69,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-swissprot,14746
70,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-umls,14619
71,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bio2rdf-uniprot,14746
72,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bioportal,7157
73,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bioportal-icd9cm,2075
74,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bioportal-msh,28
75,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bioportal-ncit,5026
76,989133b2-75c8-417d-a63b-0c269b89f2aa,links:bioportal-umlsSTY,28
77,989133b2-75c8-417d-a63b-0c269b89f2aa,links:dbpedia,14619
78,989133b2-75c8-417d-a63b-0c269b89f2aa,links:fu-berlin-diseasome,17181
79,989133b2-75c8-417d-a63b-0c269b89f2aa,links:identifiers-org,2279046
80,989133b2-75c8-417d-a63b-0c269b89f2aa,links:linked-life-data,1390561
81,989133b2-75c8-417d-a63b-0c269b89f2aa,links:pubchem,326177
82,989133b2-75c8-417d-a63b-0c269b89f2aa,links:uniprot-taxon,1018735
83,989133b2-75c8-417d-a63b-0c269b89f2aa,links:uniprot-uniprot,14746
84,989133b2-75c8-417d-a63b-0c269b89f2aa,namespace,http://rdf.disgenet.org/
85,989133b2-75c8-417d-a63b-0c269b89f2aa,shortname,DisGeNET
86,989133b2-75c8-417d-a63b-0c269b89f2aa,sparql_graph_name,http://rdf.disgenet.org
87,989133b2-75c8-417d-a63b-0c269b89f2aa,triples,21730060
88,27454939-3f7e-498b-bd60-aa04e11520b6,links:bluk-bnb,53
89,27454939-3f7e-498b-bd60-aa04e11520b6,links:datos-bne-es,5922
90,27454939-3f7e-498b-bd60-aa04e11520b6,links:dbpedia,429
91,27454939-3f7e-498b-bd60-aa04e11520b6,links:europeana-lod-v1,8
92,27454939-3f7e-498b-bd60-aa04e11520b6,links:freebase,383
93,27454939-3f7e-498b-bd60-aa04e11520b6,links:geonames,6
94,27454939-3f7e-498b-bd60-aa04e11520b6,links:hungarian-national-library-catalog,201
95,27454939-3f7e-498b-bd60-aa04e11520b6,links:lcsh,0
96,27454939-3f7e-498b-bd60-aa04e11520b6,links:lobid-organisations,0
97,27454939-3f7e-498b-bd60-aa04e11520b6,links:lobid-resources,0
98,27454939-3f7e-498b-bd60-aa04e11520b6,links:marc-codes,1
99,27454939-3f7e-498b-bd60-aa04e11520b6,links:open-library,0
100,27454939-3f7e-498b-bd60-aa04e11520b6,links:viaf,646
