,cache_last_updated,cache_url,created,description,ds_id,format,hash,id,last_modified,mimetype,mimetype_inner,name,resource_type,size,state,url,url_type,webstore_last_updated,webstore_url
0,,,,Example (RDF/XML),396b6444-6702-4c74-932c-87819e042adf,example/rdf+xml,,51796956-34d7-4ef9-9e9b-ff75e6ce0a0a,,,,,,,active,http://km.aifb.kit.edu/services/crunchbase/api/company/facebook#id,,,
1,,,,Example (RDF/XML),396b6444-6702-4c74-932c-87819e042adf,example/rdf+xml,,c32e3007-0182-45e7-9d47-34799b50964e,,,,,,,active,http://km.aifb.kit.edu/services/crunchbase/api/company/ibm#id,,,
2,,,,Example (RDF/XML),396b6444-6702-4c74-932c-87819e042adf,example/rdf+xml,,83618e7a-09c1-42bd-8795-f6d9849dc6de,,,,,,,active,lhttp://km.aifb.kit.edu/services/crunchbase/api/person/sheryl-sandberg#id,,,
3,,,2016-02-04T11:35:18.024229,Generated by the GNU social instance running on https://social.umeahackerspace.se,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,example/rdf+xml,,ce5649a3-fd9f-492e-a0f4-40b25d20332d,,,,acct:mmn@social.umeahackerspace.se,,,active,https://social.umeahackerspace.se/mmn/foaf,,,
4,,,2016-02-04T11:48:47.409395,Generated by the GNU social instance running on https://social.umeahackerspace.se,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,example/rdf+xml,,20889436-5dae-4065-af22-57da0a87f129,,,,acct:makitadoge@social.umeahackerspace.se,,,active,https://social.umeahackerspace.se/makitadoge/foaf,,,
5,,,,nutritive value,48c3f15a-ca06-4b36-9d48-79fe76a60534,example/rdf+xml,,af54c0c8-fa04-4e74-839d-2925dc0decc9,,,,RDF/XML example,file,,active,http://lod.nal.usda.gov/nalt/10486.rdf,,,
6,,,,Access to Simple Knowledge Organization System (SKOS) Formats with English and Spanish terms ,48c3f15a-ca06-4b36-9d48-79fe76a60534,HTML,,27599207-0107-4bbb-8a8d-5dbf2d60d065,,,,Download page,file,,active,http://agclass.nal.usda.gov/download.shtml#SKOS,,,
7,,,,,48c3f15a-ca06-4b36-9d48-79fe76a60534,XML,,6117ef0c-a3ed-4ee9-be11-c20f3682d11c,2013-07-01T10:25:13.149684,application/xml-sitemap,,XML sitemap,file,1761,active,http://lod.nal.usda.gov/sitemap.xml,,,
8,,,2016-01-28T11:44:33.619164,,632163c5-bbce-4c61-bd60-225d2ffc7e1d,meta/void,,04c40833-935e-4d57-9750-f026bd3da085,,text/turtle,,VoID description,,,active,http://glottolog.org/void.ttl,,,
9,,,2016-01-28T11:44:34.957350,,632163c5-bbce-4c61-bd60-225d2ffc7e1d,text/n3,,ef883d0b-d6c8-4226-aa17-6efbae17684f,,text/n3,,RDF dump,,,active,http://glottolog.org/static/download/glottolog-dataset.n3.gz,,,
