,display_name,ds_id,id,name,state,vocabulary_id
0,crunchbase,396b6444-6702-4c74-932c-87819e042adf,21406063-4eac-4855-93bc-3c7f23c2d0f4,crunchbase,active,
1,format-rdf,396b6444-6702-4c74-932c-87819e042adf,9dd6b48e-299d-427b-95a9-b54708459ab9,format-rdf,active,
2,lod,396b6444-6702-4c74-932c-87819e042adf,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
3,no-proprietary-vocab,396b6444-6702-4c74-932c-87819e042adf,aef04cb8-a7aa-4419-8184-396b0ef6e680,no-proprietary-vocab,active,
4,published-by-third-party,396b6444-6702-4c74-932c-87819e042adf,61a91c2c-78df-4237-9195-faa353244514,published-by-third-party,active,
5,usergeneratedcontent,396b6444-6702-4c74-932c-87819e042adf,e9b2da79-5971-41f9-a314-36d368636b85,usergeneratedcontent,active,
6,wrapper,396b6444-6702-4c74-932c-87819e042adf,4fef1caf-af78-462a-bb22-047097118057,wrapper,active,
7,GNUsocial,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,083836dd-7912-4f96-bba1-f5637ef0f829,GNUsocial,active,
8,format-foaf,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,bd737030-1ba6-4913-baaa-bfa2581618b5,format-foaf,active,
9,format-rdf,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,9dd6b48e-299d-427b-95a9-b54708459ab9,format-rdf,active,
10,lod,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
11,socialweb,5da433ab-ca13-4dd9-ba4c-9b3df8b31fea,a525dc54-eefd-49f1-8193-8cbfc954980b,socialweb,active,
12,agriculture,48c3f15a-ca06-4b36-9d48-79fe76a60534,e0f6dee1-dd9c-4698-b309-513901773417,agriculture,active,
13,farming,48c3f15a-ca06-4b36-9d48-79fe76a60534,220df847-a4a0-413c-b6cd-ed2c77a02a54,farming,active,
14,food,48c3f15a-ca06-4b36-9d48-79fe76a60534,45a1f850-6a4d-4b2d-b824-53ee845d42d1,food,active,
15,format-rdf,48c3f15a-ca06-4b36-9d48-79fe76a60534,9dd6b48e-299d-427b-95a9-b54708459ab9,format-rdf,active,
16,format-skos,48c3f15a-ca06-4b36-9d48-79fe76a60534,4d405572-6308-41ed-a021-1990e618a626,format-skos,active,
17,library,48c3f15a-ca06-4b36-9d48-79fe76a60534,7ec1ef56-6c27-4299-a3fa-578756ddc421,library,active,
18,lld,48c3f15a-ca06-4b36-9d48-79fe76a60534,c1dea2c0-3fb8-47b8-9b37-c076756e6420,lld,active,
19,lod,48c3f15a-ca06-4b36-9d48-79fe76a60534,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
20,lodcloud.nolinks,48c3f15a-ca06-4b36-9d48-79fe76a60534,ce89d5e1-b216-44ba-9603-d13fa7b248c4,lodcloud.nolinks,active,
21,no-license-metadata,48c3f15a-ca06-4b36-9d48-79fe76a60534,fec2bd03-9eb4-4058-a203-61cd691a383c,no-license-metadata,active,
22,no-proprietary-vocab,48c3f15a-ca06-4b36-9d48-79fe76a60534,aef04cb8-a7aa-4419-8184-396b0ef6e680,no-proprietary-vocab,active,
23,no-provenance-metadata,48c3f15a-ca06-4b36-9d48-79fe76a60534,585e9fca-2d67-4a07-b9d1-5495de054c7a,no-provenance-metadata,active,
24,no-vocab-mappings,48c3f15a-ca06-4b36-9d48-79fe76a60534,e51273d8-dc60-4cf2-a68d-3cfd33b2c1fc,no-vocab-mappings,active,
25,nutrition,48c3f15a-ca06-4b36-9d48-79fe76a60534,faf47cf0-5158-4a7d-bcfc-0219986fa152,nutrition,active,
26,publications,48c3f15a-ca06-4b36-9d48-79fe76a60534,c93ebe8f-83a0-498c-8704-1de94db149e9,publications,active,
27,published-by-producer,48c3f15a-ca06-4b36-9d48-79fe76a60534,fcdb5c0a-2b91-44cb-83e5-19fd0d81125c,published-by-producer,active,
28,linguistics,632163c5-bbce-4c61-bd60-225d2ffc7e1d,5dbcca2e-67db-4ffc-b2d8-3a9b7d665972,linguistics,active,
29,llod,632163c5-bbce-4c61-bd60-225d2ffc7e1d,e7d2899e-71ea-46af-a421-7663f5c0f399,llod,active,
30,lod,632163c5-bbce-4c61-bd60-225d2ffc7e1d,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
31,AKSW,e1b236e1-6f58-48d1-a09f-477487cf1621,8019157c-adaf-4bee-b861-b4caebbab02f,AKSW,active,
32,crossdomain,e1b236e1-6f58-48d1-a09f-477487cf1621,833848ee-ef06-4283-bb26-164f6c3474b4,crossdomain,active,
33,jrc,e1b236e1-6f58-48d1-a09f-477487cf1621,329ef479-aa58-4fa6-84d3-0b41cd3e0e72,jrc,active,
34,linguistics,e1b236e1-6f58-48d1-a09f-477487cf1621,5dbcca2e-67db-4ffc-b2d8-3a9b7d665972,linguistics,active,
35,lod,e1b236e1-6f58-48d1-a09f-477487cf1621,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
36,bavaria,d199156b-f304-4d49-b3b7-76c39d9fb3d5,3551ccf4-eede-4a97-9471-a2bd1de717a7,bavaria,active,
37,berlin,d199156b-f304-4d49-b3b7-76c39d9fb3d5,476e8b87-5877-479d-a810-f1f8f7c90599,berlin,active,
38,bibliographic,d199156b-f304-4d49-b3b7-76c39d9fb3d5,01d76f4d-6bf5-4cec-a2a8-59dc3f24ab2d,bibliographic,active,
39,brandenburg,d199156b-f304-4d49-b3b7-76c39d9fb3d5,955bfb24-0f8c-427c-9411-2fdac9c1f8aa,brandenburg,active,
40,format-bibo,d199156b-f304-4d49-b3b7-76c39d9fb3d5,4bbb2986-6e54-43b6-9dba-b55b0e3bdd60,format-bibo,active,
41,format-dc,d199156b-f304-4d49-b3b7-76c39d9fb3d5,0b675a54-621f-4fdb-850a-ef5d0b1b1ca3,format-dc,active,
42,format-dcterms,d199156b-f304-4d49-b3b7-76c39d9fb3d5,79d8c60d-3cba-457f-8e51-1026aa2015ab,format-dcterms,active,
43,germany,d199156b-f304-4d49-b3b7-76c39d9fb3d5,1cde8d88-ae67-40a9-b700-ba53c7da0135,germany,active,
44,government,d199156b-f304-4d49-b3b7-76c39d9fb3d5,22fddbd6-8780-4ce0-826f-e41efdc36688,government,active,
45,library,d199156b-f304-4d49-b3b7-76c39d9fb3d5,7ec1ef56-6c27-4299-a3fa-578756ddc421,library,active,
46,license-metadata,d199156b-f304-4d49-b3b7-76c39d9fb3d5,8d7e5c73-261b-4137-a278-42f56a6ec4bb,license-metadata,active,
47,lld,d199156b-f304-4d49-b3b7-76c39d9fb3d5,c1dea2c0-3fb8-47b8-9b37-c076756e6420,lld,active,
48,lod,d199156b-f304-4d49-b3b7-76c39d9fb3d5,54a512d9-f003-4b79-badf-c85bfa977a7e,lod,active,
49,no-proprietary-vocab,d199156b-f304-4d49-b3b7-76c39d9fb3d5,aef04cb8-a7aa-4419-8184-396b0ef6e680,no-proprietary-vocab,active,
50,no-provenance-metadata,d199156b-f304-4d49-b3b7-76c39d9fb3d5,585e9fca-2d67-4a07-b9d1-5495de054c7a,no-provenance-metadata,active,
51,published-by-producer,d199156b-f304-4d49-b3b7-76c39d9fb3d5,fcdb5c0a-2b91-44cb-83e5-19fd0d81125c,published-by-producer,active,
52,crossdomain,09bb4837-4dd0-4a8a-ab42-4924b0c61719,833848ee-ef06-4283-bb26-164f6c3474b4,crossdomain,active,
53,datafaqs,09bb4837-4dd0-4a8a-ab42-4924b0c61719,92350085-33b8-4c99-9a16-9f377ee12140,datafaqs,active,
54,deref-vocab,09bb4837-4dd0-4a8a-ab42-4924b0c61719,487f8915-c3f7-4f32-9658-d8af8c201696,deref-vocab,active,
55,format-bibo,09bb4837-4dd0-4a8a-ab42-4924b0c61719,4bbb2986-6e54-43b6-9dba-b55b0e3bdd60,format-bibo,active,
56,format-coin,09bb4837-4dd0-4a8a-ab42-4924b0c61719,3bd82974-8df7-4e71-a180-5f60fbfdd656,format-coin,active,
57,format-con,09bb4837-4dd0-4a8a-ab42-4924b0c61719,44d606b7-c470-4674-ad85-c98057253b9e,format-con,active,
58,format-conv,09bb4837-4dd0-4a8a-ab42-4924b0c61719,75586e5c-fff4-48b5-8d51-49d14c39c2b9,format-conv,active,
59,format-datafaqs,09bb4837-4dd0-4a8a-ab42-4924b0c61719,97243d29-8e6c-4435-b5f2-84c32d19d04e,format-datafaqs,active,
60,format-dbpedia,09bb4837-4dd0-4a8a-ab42-4924b0c61719,3b5b56c6-ffc7-4497-a58a-df7fcae2ed9b,format-dbpedia,active,
61,format-dc,09bb4837-4dd0-4a8a-ab42-4924b0c61719,0b675a54-621f-4fdb-850a-ef5d0b1b1ca3,format-dc,active,
62,format-dcat,09bb4837-4dd0-4a8a-ab42-4924b0c61719,e9a5e660-1a77-42d9-9d1e-796ab5e838e9,format-dcat,active,
63,format-doap,09bb4837-4dd0-4a8a-ab42-4924b0c61719,effaf36b-c63a-4bb2-9878-c5c901dcd6df,format-doap,active,
64,format-event,09bb4837-4dd0-4a8a-ab42-4924b0c61719,766ed801-2d88-4f40-9ee8-c552c889998b,format-event,active,
65,format-foaf,09bb4837-4dd0-4a8a-ab42-4924b0c61719,bd737030-1ba6-4913-baaa-bfa2581618b5,format-foaf,active,
66,format-geo,09bb4837-4dd0-4a8a-ab42-4924b0c61719,16f204d1-2004-4b26-97c9-93a8e42cc506,format-geo,active,
67,format-graffle,09bb4837-4dd0-4a8a-ab42-4924b0c61719,81d16d99-8631-42fe-afe0-ddefbf7b7c66,format-graffle,active,
